tag	photo_en	photo_jp
fish	fish	魚
koi	koi	コイ
bird	bird	鳥
cow	cow	牛
sheep	sheep	羊
snake	snake	蛇
horse	horse	馬
other animals	animal	動物
noodles	noodles	麺
rice	rice	ご飯
bread	bread	パン
sushi or sashimi	sushi, sashimi	寿司, 刺身
curry	curry	カレー
fried food	fried food	揚げ物
dessert or sweets	dessert or sweets	デザート, スイーツ
other food	food	食べ物
tea or teapot	tea	お茶
coffee	coffee	コーヒー
drink with ice-cream	drink with ice-cream	フロート, クリーム
other beverage	beverage	飲み物
train station or inside a train	train	電車
tunnel or cave	tunnel	トンネル
leaves, trees or plants	leaves, trees, plants	葉, 木, 植物
mountain and sky	mountain, sky	山, 空
river or sea	river, sea	川, 海
sunset	sunset	夕日
night scene	night	夜
ruins	ruins	廃墟
staircase	staircase	階段
indoor room	indoor room	室内
lamp or ceiling light	lamp, lights	照明
traffic lights	traffic lights	信号
fire alarm	fire alarm	火災報知器
exit sign	exit	出口
spider plushie	taranchama	タランちゃま
dolls or figures	dolls, figures	ぬいぐるみ, 人形, ドール
airplane	airplane	飛行機
a sheet of paper	paper	ペイパー
phone booth or public phone	phone booth	電話ボックス
vending machine	vending machine	自動販売機
signboard of shops	signboard of shops	看板
others or unclassified	others	その他
