links	description_jp	description	name_jp	name	coordinates	type	type
https://www.youtube.com/post/UgkxJXG67aUD2ZQlDw4C95i6ReL9mtEQVx8h	人々の歴史と想いを受け継いで　大切にし続ける街、琴平町。　香川県琴平町🗾	A town that carries on the history and feelings of its people, and continues to cherish them: Kotohira Town. Kotohira Town, Kagawa Prefecture 🗾	琴平町	Kotohira-chou	34.18907744534806, 133.81927533518757	scenery	others
https://x.com/akaihaato/status/1967566453919645731	歴史が深くて素敵な街。　琴平町、また行きたい❗️	A town rich in history and full of charm. I want to visit Kotohira again❗️	琴平町	Kotohira-chou	34.18907744534806, 133.81927533518757	scenery	others
https://youtu.be/A8V5nEwb3sc?t=1711	【 旅 】「琴平」を盛り上げる!!地元の皆さんと魅力大紹介～～～！！🚃✨	[Trip] Let's boost Kotohira!! A big showcase of its charm with the local community~~~!!🚃✨	KOTOVEGAS	Kotovegas	34.18905017756578, 133.82173021779178	hotel	hotel
https://youtu.be/A8V5nEwb3sc?t=302	【 旅 】「琴平」を盛り上げる!!地元の皆さんと魅力大紹介～～～！！🚃✨	[Trip] Let's boost Kotohira!! A big showcase of its charm with the local community~~~!!🚃✨	西野金陵 本店	Nishino Kinryo (西野金陵 本店)	34.18760926181631, 133.81895198098127	shop	shop
https://www.youtube.com/post/UgkxZjLtYYSaWitFKotMGi9fvJwtNnz8xlv5	ここは曇り、あちらは晴れ模様　隣の空は青いですね。 - 千葉🗾	It's cloudy here, but sunny over there. The sky next door is so blue.	浜金谷駅	Hamakanaya Station	35.16814849580906, 139.82227801921616	station	station
https://x.com/akaihaato/status/1967363940339548459	今日も福を招き猫🐈🐾		---				
https://www.youtube.com/post/UgkxMhNEGPosHvSRFyOuPaBKaYiFsGPwq7gs	後ろを振り返ることはあっても、戻れはしない。　人生は進んでいく。　栃木🗾SL大樹🚂	We may look back, but we can never return. Life keeps moving forward.	鬼怒川温泉駅	Kinugawa-onsen Station	36.82300736272695, 139.71706116092307	station	station
https://x.com/akaihaato/status/1966886722039672944	さよなら、今日。　明日へ、出発進行！	Goodbye, today. Full speed ahead into tomorrow!	鬼怒川温泉駅	Kinugawa-onsen Station	36.82300736272695, 139.71706116092307	station	station
https://x.com/akaihaato/status/1966327902397722720	呑気に散歩してたが、目的地と真逆である	I was casually out for a walk, but ended up going in the complete opposite direction of my destination.	35.468410411197304, 139.6194755541965	35.468410411197304, 139.6194755541965	35.468410411197304, 139.6194755541965	scenery	others
https://x.com/akaihaato/status/1966083375976034559	期間限定のフルーツって特別感あって好き🍑		---				
https://x.com/akaihaato/status/1965969986532577454	この前、等々力渓谷行って1番驚いた事　サラ・・・・・ちゃま⁉️	The most surprising thing when I went to Todoroki Valley recently: Sara... chama⁉️	等々力渓谷	Todoroki Valley	35.60521658413865, 139.64564826861238	attraction	attraction
https://x.com/akaihaato/status/1965257301629227299	赤井ハトはおひとり様デート中🫶	Solo date with Akai Hato (TL note: Hato means pigeons or doves)	井の頭公園 ボート場	Inokashira Boat house	35.69950256848502, 139.57713765175905	sail	sail
https://x.com/akaihaato/status/1965251023037235498	色んな鳥たちのデートスポット🛶	A dating spot for all kinds of birds 🛶	井の頭公園 ボート場	Inokashira Boat house	35.69950256848502, 139.57713765175905	sail	sail
